url_length,num_dots,num_digits,num_special_chars,is_https,path_length,num_subdomains,has_ip_address,label
34,0,0,3,False,34,0,False,0
26,0,6,3,False,26,0,False,0
41,0,5,3,False,41,0,False,0
36,0,1,2,False,36,0,False,0
38,0,0,3,False,38,0,False,0
15,0,0,1,False,15,0,False,0
47,0,0,3,False,47,0,False,0
26,0,0,2,False,26,0,False,0
34,0,0,3,False,34,0,False,0
39,0,0,4,False,39,0,False,0
35,0,0,1,False,29,0,False,0
25,0,0,2,False,25,0,False,0
46,0,4,4,False,46,0,False,0
48,0,0,4,False,48,0,False,0
98,0,8,9,False,34,0,False,0
23,0,0,2,False,23,0,False,0
32,0,4,2,False,32,0,False,0
25,0,0,2,False,25,0,False,0
39,0,0,2,False,39,0,False,0
38,0,0,3,False,38,0,False,0
24,0,0,2,False,24,0,False,0
33,0,4,2,False,33,0,False,0
29,0,0,2,False,29,0,False,0
59,0,1,5,False,59,0,False,0
38,0,10,4,False,31,0,False,0
45,0,0,2,False,45,0,False,0
48,0,2,3,False,48,0,False,0
26,0,0,4,False,26,0,False,0
36,0,0,2,False,36,0,False,0
17,0,0,2,False,17,0,False,0
48,0,0,3,False,48,0,False,0
17,0,0,2,False,17,0,False,0
25,0,0,2,False,25,0,False,0
24,0,0,3,False,24,0,False,0
28,0,2,3,False,28,0,False,0
34,0,0,2,False,34,0,False,0
37,0,0,3,False,37,0,False,0
27,0,4,2,False,27,0,False,0
89,0,2,10,False,89,0,False,0
22,0,0,2,False,22,0,False,0
37,0,1,2,False,37,0,False,0
43,0,0,3,False,43,0,False,0
72,0,0,8,False,72,0,False,0
42,0,0,2,False,42,0,False,0
32,0,0,2,False,32,0,False,0
25,0,0,3,False,25,0,False,0
35,0,0,2,False,35,0,False,0
26,0,3,2,False,26,0,False,0
35,0,0,3,False,35,0,False,0
31,0,0,3,False,19,0,False,0
50,0,0,3,False,50,0,False,0
31,0,0,2,False,31,0,False,0
40,0,0,1,False,40,0,False,0
22,0,0,2,False,22,0,False,0
33,0,0,3,False,33,0,False,0
99,0,6,12,False,99,0,False,0
21,0,0,2,False,21,0,False,0
35,0,0,2,False,35,0,False,0
45,0,0,2,False,45,0,False,0
37,0,0,3,False,37,0,False,0
24,0,0,2,False,24,0,False,0
39,0,0,3,False,39,0,False,0
30,0,0,1,False,30,0,False,0
49,0,4,4,False,49,0,False,0
45,0,0,1,False,45,0,False,0
24,0,1,2,False,24,0,False,0
29,0,0,3,False,29,0,False,0
57,0,7,5,False,57,0,False,0
27,0,4,2,False,27,0,False,0
34,0,0,2,False,34,0,False,0
37,0,3,3,False,24,0,False,0
32,0,0,4,False,32,0,False,0
32,0,0,3,False,32,0,False,0
39,0,0,2,False,39,0,False,0
32,0,0,2,False,32,0,False,0
26,0,0,3,False,26,0,False,0
26,0,0,2,False,26,0,False,0
37,0,0,3,False,37,0,False,0
133,0,6,18,False,27,0,False,0
111,0,10,4,False,111,0,False,0
33,0,1,2,False,33,0,False,0
52,0,11,6,False,52,0,False,0
41,0,0,3,False,41,0,False,0
30,0,0,1,False,30,0,False,0
21,0,0,2,False,21,0,False,0
57,0,0,3,False,57,0,False,0
46,0,1,2,False,46,0,False,0
31,0,0,1,False,31,0,False,0
18,0,0,1,False,18,0,False,0
32,0,0,3,False,32,0,False,0
23,0,0,2,False,23,0,False,0
24,0,0,1,False,24,0,False,0
17,0,0,2,False,17,0,False,0
33,0,0,3,False,33,0,False,0
29,0,0,3,False,29,0,False,0
21,0,0,2,False,21,0,False,0
32,0,0,2,False,32,0,False,0
30,0,0,3,False,30,0,False,0
33,0,0,2,False,33,0,False,0
69,0,0,8,False,69,0,False,0
31,0,3,3,False,31,0,False,0
33,0,0,2,False,33,0,False,0
33,0,0,3,False,33,0,False,0
38,0,0,3,False,38,0,False,0
32,0,0,4,False,32,0,False,0
24,0,0,3,False,24,0,False,0
35,0,0,3,False,35,0,False,0
52,0,7,7,False,52,0,False,0
27,0,4,2,False,27,0,False,0
43,0,1,5,False,43,0,False,0
23,0,0,2,False,23,0,False,0
27,0,4,2,False,27,0,False,0
32,0,2,2,False,32,0,False,0
69,0,3,7,False,69,0,False,0
37,0,0,3,False,37,0,False,0
58,0,10,7,False,58,0,False,0
30,0,0,2,False,30,0,False,0
60,0,6,4,False,60,0,False,0
52,0,0,4,False,52,0,False,0
48,0,0,2,False,48,0,False,0
44,0,1,4,False,44,0,False,0
44,0,0,4,False,44,0,False,0
22,0,0,2,False,22,0,False,0
42,0,2,5,False,42,0,False,0
43,0,4,4,False,43,0,False,0
23,0,1,2,False,23,0,False,0
32,0,0,3,False,32,0,False,0
26,0,0,3,False,26,0,False,0
26,0,3,2,False,26,0,False,0
28,0,0,3,False,28,0,False,0
52,0,0,3,False,52,0,False,0
26,0,0,2,False,26,0,False,0
34,0,0,3,False,34,0,False,0
33,0,0,1,False,33,0,False,0
36,0,0,2,False,36,0,False,0
40,0,0,3,False,40,0,False,0
46,0,1,3,False,46,0,False,0
42,0,0,4,False,42,0,False,0
35,0,0,3,False,35,0,False,0
67,0,8,4,False,67,0,False,0
30,0,0,1,False,30,0,False,0
27,0,4,2,False,27,0,False,0
36,0,0,3,False,36,0,False,0
39,0,0,2,False,39,0,False,0
21,0,0,2,False,21,0,False,0
44,0,0,2,False,44,0,False,0
35,0,4,3,False,35,0,False,0
46,0,9,5,False,46,0,False,0
36,0,1,4,False,36,0,False,0
43,0,0,4,False,43,0,False,0
36,0,0,2,False,36,0,False,0
33,0,0,1,False,33,0,False,0
23,0,0,2,False,23,0,False,0
20,0,0,2,False,20,0,False,0
35,0,5,2,False,35,0,False,0
21,0,1,1,False,21,0,False,0
15,0,0,2,False,15,0,False,0
24,0,0,3,False,24,0,False,0
35,0,1,2,False,35,0,False,0
52,0,8,7,False,52,0,False,0
66,0,0,8,False,66,0,False,0
25,0,0,2,False,25,0,False,0
56,0,10,4,False,37,0,False,0
25,0,1,1,False,25,0,False,0
23,0,3,2,False,23,0,False,0
24,0,0,1,False,24,0,False,0
45,0,1,2,False,45,0,False,0
34,0,0,3,False,34,0,False,0
38,0,0,3,False,38,0,False,0
33,0,0,3,False,33,0,False,0
38,0,0,3,False,38,0,False,0
41,0,1,2,False,41,0,False,0
27,0,0,2,False,27,0,False,0
42,0,0,3,False,42,0,False,0
30,0,0,1,False,30,0,False,0
22,0,0,2,False,22,0,False,0
62,0,0,3,False,39,0,False,0
24,0,0,2,False,24,0,False,0
46,0,0,2,False,46,0,False,0
36,0,0,3,False,36,0,False,0
43,0,17,5,False,43,0,False,0
30,0,0,4,False,30,0,False,0
25,0,0,2,False,25,0,False,0
36,0,0,3,False,36,0,False,0
33,0,0,4,False,33,0,False,0
32,0,0,2,False,32,0,False,0
34,0,0,2,False,34,0,False,0
27,0,0,3,False,27,0,False,0
41,0,0,3,False,41,0,False,0
19,0,0,1,False,19,0,False,0
27,0,0,2,False,27,0,False,0
24,0,0,2,False,24,0,False,0
22,0,0,2,False,22,0,False,0
19,0,0,2,False,19,0,False,0
45,0,0,2,False,45,0,False,0
75,0,5,8,False,75,0,False,0
29,0,0,3,False,29,0,False,0
27,0,4,2,False,27,0,False,0
38,0,0,3,False,38,0,False,0
36,0,0,4,False,36,0,False,0
27,0,4,2,False,27,0,False,0
43,0,1,5,False,39,0,False,0
46,0,0,4,False,46,0,False,0
43,0,2,1,False,43,0,False,0
17,0,0,2,False,17,0,False,0
33,0,0,4,False,33,0,False,0
45,0,0,2,False,45,0,False,0
75,0,13,10,False,75,0,False,0
33,0,0,2,False,33,0,False,0
23,0,0,2,False,23,0,False,0
46,0,2,3,False,46,0,False,0
43,0,0,2,False,43,0,False,0
35,0,0,2,False,35,0,False,0
46,0,11,6,False,46,0,False,0
38,0,0,1,False,38,0,False,0
24,0,1,1,False,24,0,False,0
180,0,37,15,False,113,0,False,0
34,0,0,2,False,34,0,False,0
40,0,1,5,False,40,0,False,0
33,0,4,1,False,16,0,False,0
48,0,0,4,False,48,0,False,0
45,0,7,4,False,45,0,False,0
35,0,0,3,False,35,0,False,0
28,0,0,2,False,28,0,False,0
63,0,3,5,False,63,0,False,0
79,0,9,16,False,28,0,False,0
40,0,0,5,False,40,0,False,0
31,0,4,2,False,31,0,False,0
27,0,4,2,False,27,0,False,0
35,0,0,4,False,35,0,False,0
20,0,0,2,False,20,0,False,0
49,0,0,4,False,49,0,False,0
33,0,0,1,False,33,0,False,0
33,0,1,1,False,33,0,False,0
38,0,1,1,False,38,0,False,0
21,0,0,2,False,21,0,False,0
34,0,0,3,False,34,0,False,0
35,0,0,4,False,35,0,False,0
26,0,0,3,False,26,0,False,0
38,0,0,6,False,38,0,False,0
28,0,0,3,False,28,0,False,0
48,0,0,3,False,48,0,False,0
49,0,0,2,False,49,0,False,0
16,0,0,2,False,16,0,False,0
43,0,3,4,False,36,0,False,0
28,0,0,2,False,28,0,False,0
37,0,0,5,False,37,0,False,0
45,0,0,4,False,45,0,False,0
43,0,2,3,False,35,0,False,0
36,0,0,4,False,36,0,False,0
58,0,3,5,False,58,0,False,0
29,0,0,2,False,29,0,False,0
33,0,3,3,False,33,0,False,0
53,0,4,4,False,53,0,False,0
31,0,0,3,False,31,0,False,0
42,0,0,2,False,42,0,False,0
47,0,0,2,False,47,0,False,0
27,0,0,1,False,27,0,False,0
48,0,0,4,False,48,0,False,0
22,0,0,2,False,22,0,False,0
31,0,0,3,False,31,0,False,0
26,0,3,2,False,26,0,False,0
40,0,0,4,False,40,0,False,0
54,0,0,6,False,54,0,False,0
36,0,0,1,False,36,0,False,0
24,0,0,2,False,24,0,False,0
23,0,0,1,False,23,0,False,0
35,0,0,4,False,35,0,False,0
56,0,1,6,False,56,0,False,0
27,0,4,2,False,27,0,False,0
39,0,0,3,False,39,0,False,0
31,0,0,1,False,31,0,False,0
75,0,7,7,False,75,0,False,0
36,0,0,3,False,36,0,False,0
27,0,4,2,False,27,0,False,0
39,0,2,2,False,39,0,False,0
48,0,2,6,False,48,0,False,0
65,0,0,7,False,65,0,False,0
37,0,0,2,False,37,0,False,0
26,0,3,2,False,26,0,False,0
30,0,0,1,False,30,0,False,0
29,0,0,2,False,29,0,False,0
44,0,0,4,False,44,0,False,0
21,0,0,2,False,21,0,False,0
35,0,4,1,False,35,0,False,0
20,0,0,3,False,20,0,False,0
37,0,0,3,False,19,0,False,0
45,0,0,3,False,45,0,False,0
49,0,9,7,False,49,0,False,0
42,0,0,4,False,42,0,False,0
33,0,0,2,False,33,0,False,0
36,0,0,3,False,36,0,False,0
